scope,run_id,variant,quantizer,base_bit_len,ext_bit_len,code_bits_per_dim,top_k,search_range,run_count,qps,qps_min,qps_max,recall_at_k,recall_min,recall_max,avg_us,p50_us,p90_us,p95_us,p99_us,rounds,warmup_queries,base_count,query_count,dim,build_seconds,save_seconds,total_build_seconds,index_bytes,search_max_rss_kib,build_max_rss_kib,thread_count,link_range,link_candidate_size,build_iter_count,batch_size_mb,rotator_type,source_search_csv,source_build_csv
run,zsq_run_20260807T123958Z,erq9,erq,1,8,9,100,150,1,6510.711755,,,0.746188,,,153.593038,153.372,161.632,164.642,171.683,5,1000,1000000,10000,128,133.054806,5.858701,139.355033,1065066566,1127232,4891316,16,32,300,3,1024,0,zsq_run_20260807T123958Z/results/search_erq9.csv,zsq_run_20260807T123958Z/results/build_erq9.csv
run,zsq_run_20260807T123958Z,erq9,erq,1,8,9,100,200,1,5008.474153,,,0.815584,,,199.661607,199.795,209.376,212.816,220.997,5,1000,1000000,10000,128,133.054806,5.858701,139.355033,1065066566,1127232,4891316,16,32,300,3,1024,0,zsq_run_20260807T123958Z/results/search_erq9.csv,zsq_run_20260807T123958Z/results/build_erq9.csv
run,zsq_run_20260807T123958Z,erq9,erq,1,8,9,100,300,1,3383.167164,,,0.888482,,,295.58102,296.262,309.144,313.514,324.544,5,1000,1000000,10000,128,133.054806,5.858701,139.355033,1065066566,1127232,4891316,16,32,300,3,1024,0,zsq_run_20260807T123958Z/results/search_erq9.csv,zsq_run_20260807T123958Z/results/build_erq9.csv
run,zsq_run_20260807T123958Z,erq9,erq,1,8,9,100,400,1,2560.094202,,,0.924458,,,390.610626,392.159,408.43,413.141,424.552,5,1000,1000000,10000,128,133.054806,5.858701,139.355033,1065066566,1127232,4891316,16,32,300,3,1024,0,zsq_run_20260807T123958Z/results/search_erq9.csv,zsq_run_20260807T123958Z/results/build_erq9.csv
run,zsq_run_20260807T123958Z,erq9,erq,1,8,9,100,800,1,1224.91431,,,0.972594,,,816.383637,821.341,860.385,871.295,891.967,5,1000,1000000,10000,128,133.054806,5.858701,139.355033,1065066566,1127232,4891316,16,32,300,3,1024,0,zsq_run_20260807T123958Z/results/search_erq9.csv,zsq_run_20260807T123958Z/results/build_erq9.csv
run,zsq_run_20260807T123958Z,zsq,zsq,0,0,8,10,10,1,38692.77344,,,0.7444,,,25.844619,25.332,30.752,32.793,37.193,5,1000,1000000,10000,128,135.294151,1.503164,137.210137,1033072768,1092452,4859564,16,32,300,3,1024,0,zsq_run_20260807T123958Z/results/search_zsq.csv,zsq_run_20260807T123958Z/results/build_zsq.csv
run,zsq_run_20260807T123958Z,zsq,zsq,0,0,8,10,15,1,31146.7723,,,0.82896,,,32.106055,31.562,37.282,39.403,44.323,5,1000,1000000,10000,128,135.294151,1.503164,137.210137,1033072768,1094036,4859564,16,32,300,3,1024,0,zsq_run_20260807T123958Z/results/search_zsq.csv,zsq_run_20260807T123958Z/results/build_zsq.csv
run,zsq_run_20260807T123958Z,zsq,zsq,0,0,8,10,20,1,25638.60465,,,0.86627,,,39.003683,38.513,44.424,46.703,52.124,5,1000,1000000,10000,128,135.294151,1.503164,137.210137,1033072768,1094036,4859564,16,32,300,3,1024,0,zsq_run_20260807T123958Z/results/search_zsq.csv,zsq_run_20260807T123958Z/results/build_zsq.csv
run,zsq_run_20260807T123958Z,zsq,zsq,0,0,8,10,30,1,19331.82004,,,0.90317,,,51.728187,51.434,57.894,60.325,66.114,5,1000,1000000,10000,128,135.294151,1.503164,137.210137,1033072768,1094176,4859564,16,32,300,3,1024,0,zsq_run_20260807T123958Z/results/search_zsq.csv,zsq_run_20260807T123958Z/results/build_zsq.csv
run,zsq_run_20260807T123958Z,zsq,zsq,0,0,8,10,40,1,15424.17432,,,0.92137,,,64.833292,64.695,72.125,74.605,80.386,5,1000,1000000,10000,128,135.294151,1.503164,137.210137,1033072768,1094176,4859564,16,32,300,3,1024,0,zsq_run_20260807T123958Z/results/search_zsq.csv,zsq_run_20260807T123958Z/results/build_zsq.csv
run,zsq_run_20260807T123958Z,zsq,zsq,0,0,8,10,50,1,13038.814,,,0.93202,,,76.694092,76.825,85.187,87.827,93.547,5,1000,1000000,10000,128,135.294151,1.503164,137.210137,1033072768,1094176,4859564,16,32,300,3,1024,0,zsq_run_20260807T123958Z/results/search_zsq.csv,zsq_run_20260807T123958Z/results/build_zsq.csv
run,zsq_run_20260807T123958Z,zsq,zsq,0,0,8,10,75,1,9328.035927,,,0.94474,,,107.203704,107.739,119.159,122.459,129.129,5,1000,1000000,10000,128,135.294151,1.503164,137.210137,1033072768,1094176,4859564,16,32,300,3,1024,0,zsq_run_20260807T123958Z/results/search_zsq.csv,zsq_run_20260807T123958Z/results/build_zsq.csv
