ef_search,median_qps,top_k,recall_at_k,threads,M,ef_construction,query_count,repeats,build_seconds
100,3476.589031,100,0.917176,1,16,100,10000,5,306.135314
150,2395.34619,100,0.955674,1,16,100,10000,5,306.135314
500,676.4472476,100,0.995552,1,16,100,10000,5,306.135314
300,1195.648878,100,0.987389,1,16,100,10000,5,306.135314
400,874.3452819,100,0.992921,1,16,100,10000,5,306.135314
800,377.9987842,100,0.998391,1,16,100,10000,5,306.135314
